[2020/12/22 12:55:31] start=0, train=21670, val=224, host=ludwig, batch=30
[2020/12/22 12:55:31] batch=8, config='MaskFlownet_ft.yaml', dataset_cfg='chairsSDHom.yaml', shard=1, gpu_device='1,2,3', checkpoint='5adNov03', clear_steps=True, network='MaskFlownet', debug=False, valid=False, predict=False, resize=''
[2020/12/22 13:28:45] steps=2850, epe=16.576535391566182, total_time=0.67
[2020/12/22 13:29:20] steps=2900, epe=16.531514290246694, total_time=0.66
[2020/12/22 13:29:53] steps=2950, epe=16.463882743035672, total_time=0.66
[2020/12/22 13:30:28] steps=3000, epe=16.36955665760905, total_time=0.66
[2020/12/22 13:31:01] steps=3050, epe=16.326523745796568, total_time=0.66
[2020/12/22 13:31:35] steps=3100, epe=16.265406662593428, total_time=0.65
[2020/12/22 13:32:08] steps=3150, epe=16.227259015102188, total_time=0.66
[2020/12/22 13:32:43] steps=3200, epe=16.199603888826374, total_time=0.65
[2020/12/22 13:33:16] steps=3250, epe=16.115654109833923, total_time=0.66
[2020/12/22 13:33:51] steps=3300, epe=16.005210220242567, total_time=0.65
[2020/12/22 13:34:24] steps=3350, epe=15.997416778544778, total_time=0.66
[2020/12/22 13:34:59] steps=3400, epe=15.921509111534931, total_time=0.65
[2020/12/22 13:35:32] steps=3450, epe=15.929523365197182, total_time=0.66
[2020/12/22 13:36:06] steps=3500, epe=15.939004232273389, total_time=0.65
[2020/12/22 13:36:39] steps=3550, epe=15.899778704502925, total_time=0.66
[2020/12/22 13:37:14] steps=3600, epe=15.914438938104736, total_time=0.65
[2020/12/22 13:37:47] steps=3650, epe=15.7708883690546, total_time=0.67
[2020/12/22 13:38:22] steps=3700, epe=15.745322635847, total_time=0.66
[2020/12/22 13:38:55] steps=3750, epe=15.73438794770884, total_time=0.67
[2020/12/22 13:39:30] steps=3800, epe=15.739119348831645, total_time=0.65
[2020/12/22 13:40:03] steps=3850, epe=15.601926255245798, total_time=0.66
[2020/12/22 13:40:38] steps=3900, epe=15.511480565234157, total_time=0.65
[2020/12/22 13:41:11] steps=3950, epe=15.446693139669046, total_time=0.66
